V1	V2	V3	V4	V5	V6	V7
GGB4723_SGB6541	k__Bacteria	p__Firmicutes	c__Bacilli	o__Lactobacillales	f__Lactobacillaceae	g__GGB4723	s__GGB4723_SGB6541
GGB78781_SGB106569	k__Bacteria	p__Firmicutes	c__Bacilli	o__Lactobacillales	f__Lactobacillaceae	g__GGB78781	s__GGB78781_SGB106569
GGB79770_SGB15022	k__Bacteria	p__Firmicutes	c__Bacilli	o__Lactobacillales	f__Lactobacillaceae	g__GGB79770	s__GGB79770_SGB15022
GGB9522_SGB14921	k__Bacteria	p__Firmicutes	c__Bacilli	o__Lactobacillales	f__Lactobacillaceae	g__GGB9522	s__GGB9522_SGB14921
GGB9589_SGB15011	k__Bacteria	p__Firmicutes	c__Bacilli	o__Lactobacillales	f__Lactobacillaceae	g__GGB9589	s__GGB9589_SGB15011
GGB9593_SGB15015	k__Bacteria	p__Firmicutes	c__Bacilli	o__Lactobacillales	f__Lactobacillaceae	g__GGB9593	s__GGB9593_SGB15015
GGB9594_SGB15016	k__Bacteria	p__Firmicutes	c__Bacilli	o__Lactobacillales	f__Lactobacillaceae	g__GGB9594	s__GGB9594_SGB15016
GGB9595_SGB15019	k__Bacteria	p__Firmicutes	c__Bacilli	o__Lactobacillales	f__Lactobacillaceae	g__GGB9595	s__GGB9595_SGB15019
GGB9602_SGB15028	k__Bacteria	p__Firmicutes	c__Bacilli	o__Lactobacillales	f__Lactobacillaceae	g__GGB9602	s__GGB9602_SGB15028
GGB9602_SGB15031	k__Bacteria	p__Firmicutes	c__Bacilli	o__Lactobacillales	f__Lactobacillaceae	g__GGB9602	s__GGB9602_SGB15031
GGB9603_SGB15035	k__Bacteria	p__Firmicutes	c__Bacilli	o__Lactobacillales	f__Lactobacillaceae	g__GGB9603	s__GGB9603_SGB15035
GGB9673_SGB15172	k__Bacteria	p__Firmicutes	c__Bacilli	o__Lactobacillales	f__Lactobacillaceae	g__GGB9673	s__GGB9673_SGB15172
GGB9676_SGB15177	k__Bacteria	p__Firmicutes	c__Bacilli	o__Lactobacillales	f__Lactobacillaceae	g__GGB9676	s__GGB9676_SGB15177
GGB9677_SGB15179	k__Bacteria	p__Firmicutes	c__Bacilli	o__Lactobacillales	f__Lactobacillaceae	g__GGB9677	s__GGB9677_SGB15179
GGB9677_SGB15180	k__Bacteria	p__Firmicutes	c__Bacilli	o__Lactobacillales	f__Lactobacillaceae	g__GGB9677	s__GGB9677_SGB15180
GGB9677_SGB53522	k__Bacteria	p__Firmicutes	c__Bacilli	o__Lactobacillales	f__Lactobacillaceae	g__GGB9677	s__GGB9677_SGB53522
Lacticaseibacillus_paracasei	k__Bacteria	p__Firmicutes	c__Bacilli	o__Lactobacillales	f__Lactobacillaceae	g__Lacticaseibacillus	s__Lacticaseibacillus_paracasei
Lacticaseibacillus_rhamnosus	k__Bacteria	p__Firmicutes	c__Bacilli	o__Lactobacillales	f__Lactobacillaceae	g__Lacticaseibacillus	s__Lacticaseibacillus_rhamnosus
Lacticaseibacillus_suibinensis	k__Bacteria	p__Firmicutes	c__Bacilli	o__Lactobacillales	f__Lactobacillaceae	g__Lacticaseibacillus	s__Lacticaseibacillus_suibinensis
Lacticaseibacillus_suilingensis	k__Bacteria	p__Firmicutes	c__Bacilli	o__Lactobacillales	f__Lactobacillaceae	g__Lacticaseibacillus	s__Lacticaseibacillus_suilingensis
Lacticaseibacillus_zeae	k__Bacteria	p__Firmicutes	c__Bacilli	o__Lactobacillales	f__Lactobacillaceae	g__Lacticaseibacillus	s__Lacticaseibacillus_zeae
Lactiplantibacillus_herbarum	k__Bacteria	p__Firmicutes	c__Bacilli	o__Lactobacillales	f__Lactobacillaceae	g__Lactiplantibacillus	s__Lactiplantibacillus_herbarum
Lactiplantibacillus_plantarum	k__Bacteria	p__Firmicutes	c__Bacilli	o__Lactobacillales	f__Lactobacillaceae	g__Lactiplantibacillus	s__Lactiplantibacillus_plantarum
Lactobacillus_SGB8782	k__Bacteria	p__Firmicutes	c__Bacilli	o__Lactobacillales	f__Lactobacillaceae	g__Lactobacillus	s__Lactobacillus_SGB8782
Lactobacillus_acidophilus	k__Bacteria	p__Firmicutes	c__Bacilli	o__Lactobacillales	f__Lactobacillaceae	g__Lactobacillus	s__Lactobacillus_acidophilus
Lactobacillus_amylovorus	k__Bacteria	p__Firmicutes	c__Bacilli	o__Lactobacillales	f__Lactobacillaceae	g__Lactobacillus	s__Lactobacillus_amylovorus
Lactobacillus_crispatus	k__Bacteria	p__Firmicutes	c__Bacilli	o__Lactobacillales	f__Lactobacillaceae	g__Lactobacillus	s__Lactobacillus_crispatus
Lactobacillus_delbrueckii	k__Bacteria	p__Firmicutes	c__Bacilli	o__Lactobacillales	f__Lactobacillaceae	g__Lactobacillus	s__Lactobacillus_delbrueckii
Lactobacillus_gasseri	k__Bacteria	p__Firmicutes	c__Bacilli	o__Lactobacillales	f__Lactobacillaceae	g__Lactobacillus	s__Lactobacillus_gasseri
Lactobacillus_helveticus	k__Bacteria	p__Firmicutes	c__Bacilli	o__Lactobacillales	f__Lactobacillaceae	g__Lactobacillus	s__Lactobacillus_helveticus
Lactobacillus_iners	k__Bacteria	p__Firmicutes	c__Bacilli	o__Lactobacillales	f__Lactobacillaceae	g__Lactobacillus	s__Lactobacillus_iners
Lactobacillus_johnsonii	k__Bacteria	p__Firmicutes	c__Bacilli	o__Lactobacillales	f__Lactobacillaceae	g__Lactobacillus	s__Lactobacillus_johnsonii
Lactobacillus_kitasatonis	k__Bacteria	p__Firmicutes	c__Bacilli	o__Lactobacillales	f__Lactobacillaceae	g__Lactobacillus	s__Lactobacillus_kitasatonis
Lapidilactobacillus_dextrinicus	k__Bacteria	p__Firmicutes	c__Bacilli	o__Lactobacillales	f__Lactobacillaceae	g__Lapidilactobacillus	s__Lapidilactobacillus_dextrinicus
Latilactobacillus_sakei	k__Bacteria	p__Firmicutes	c__Bacilli	o__Lactobacillales	f__Lactobacillaceae	g__Latilactobacillus	s__Latilactobacillus_sakei
Leuconostoc_SGB48612	k__Bacteria	p__Firmicutes	c__Bacilli	o__Lactobacillales	f__Lactobacillaceae	g__Leuconostoc	s__Leuconostoc_SGB48612
Leuconostoc_citreum	k__Bacteria	p__Firmicutes	c__Bacilli	o__Lactobacillales	f__Lactobacillaceae	g__Leuconostoc	s__Leuconostoc_citreum
Leuconostoc_gelidum	k__Bacteria	p__Firmicutes	c__Bacilli	o__Lactobacillales	f__Lactobacillaceae	g__Leuconostoc	s__Leuconostoc_gelidum
Leuconostoc_holzapfelii	k__Bacteria	p__Firmicutes	c__Bacilli	o__Lactobacillales	f__Lactobacillaceae	g__Leuconostoc	s__Leuconostoc_holzapfelii
Leuconostoc_lactis	k__Bacteria	p__Firmicutes	c__Bacilli	o__Lactobacillales	f__Lactobacillaceae	g__Leuconostoc	s__Leuconostoc_lactis
Leuconostoc_mesenteroides	k__Bacteria	p__Firmicutes	c__Bacilli	o__Lactobacillales	f__Lactobacillaceae	g__Leuconostoc	s__Leuconostoc_mesenteroides
Leuconostoc_pseudomesenteroides	k__Bacteria	p__Firmicutes	c__Bacilli	o__Lactobacillales	f__Lactobacillaceae	g__Leuconostoc	s__Leuconostoc_pseudomesenteroides
Levilactobacillus_brevis	k__Bacteria	p__Firmicutes	c__Bacilli	o__Lactobacillales	f__Lactobacillaceae	g__Levilactobacillus	s__Levilactobacillus_brevis
Ligilactobacillus_SGB15290	k__Bacteria	p__Firmicutes	c__Bacilli	o__Lactobacillales	f__Lactobacillaceae	g__Ligilactobacillus	s__Ligilactobacillus_SGB15290
Ligilactobacillus_acidipiscis	k__Bacteria	p__Firmicutes	c__Bacilli	o__Lactobacillales	f__Lactobacillaceae	g__Ligilactobacillus	s__Ligilactobacillus_acidipiscis
Ligilactobacillus_agilis	k__Bacteria	p__Firmicutes	c__Bacilli	o__Lactobacillales	f__Lactobacillaceae	g__Ligilactobacillus	s__Ligilactobacillus_agilis
Ligilactobacillus_ruminis	k__Bacteria	p__Firmicutes	c__Bacilli	o__Lactobacillales	f__Lactobacillaceae	g__Ligilactobacillus	s__Ligilactobacillus_ruminis
Ligilactobacillus_saerimneri	k__Bacteria	p__Firmicutes	c__Bacilli	o__Lactobacillales	f__Lactobacillaceae	g__Ligilactobacillus	s__Ligilactobacillus_saerimneri
Ligilactobacillus_salivarius	k__Bacteria	p__Firmicutes	c__Bacilli	o__Lactobacillales	f__Lactobacillaceae	g__Ligilactobacillus	s__Ligilactobacillus_salivarius
Lactobacillus_timonensis	k__Bacteria	p__Firmicutes	c__Bacilli	o__Lactobacillales	f__Lactobacillaceae	g__Limosilactobacillus	s__Lactobacillus_timonensis
Limosilactobacillus_fermentum	k__Bacteria	p__Firmicutes	c__Bacilli	o__Lactobacillales	f__Lactobacillaceae	g__Limosilactobacillus	s__Limosilactobacillus_fermentum
Limosilactobacillus_mucosae	k__Bacteria	p__Firmicutes	c__Bacilli	o__Lactobacillales	f__Lactobacillaceae	g__Limosilactobacillus	s__Limosilactobacillus_mucosae
Limosilactobacillus_oris	k__Bacteria	p__Firmicutes	c__Bacilli	o__Lactobacillales	f__Lactobacillaceae	g__Limosilactobacillus	s__Limosilactobacillus_oris
Limosilactobacillus_pontis	k__Bacteria	p__Firmicutes	c__Bacilli	o__Lactobacillales	f__Lactobacillaceae	g__Limosilactobacillus	s__Limosilactobacillus_pontis
Limosilactobacillus_portuensis	k__Bacteria	p__Firmicutes	c__Bacilli	o__Lactobacillales	f__Lactobacillaceae	g__Limosilactobacillus	s__Limosilactobacillus_portuensis
Limosilactobacillus_reuteri	k__Bacteria	p__Firmicutes	c__Bacilli	o__Lactobacillales	f__Lactobacillaceae	g__Limosilactobacillus	s__Limosilactobacillus_reuteri
Limosilactobacillus_vaginalis	k__Bacteria	p__Firmicutes	c__Bacilli	o__Lactobacillales	f__Lactobacillaceae	g__Limosilactobacillus	s__Limosilactobacillus_vaginalis
Pediococcus_acidilactici	k__Bacteria	p__Firmicutes	c__Bacilli	o__Lactobacillales	f__Lactobacillaceae	g__Pediococcus	s__Pediococcus_acidilactici
Pediococcus_pentosaceus	k__Bacteria	p__Firmicutes	c__Bacilli	o__Lactobacillales	f__Lactobacillaceae	g__Pediococcus	s__Pediococcus_pentosaceus
Weissella_ceti	k__Bacteria	p__Firmicutes	c__Bacilli	o__Lactobacillales	f__Lactobacillaceae	g__Weissella	s__Weissella_ceti
Weissella_cibaria	k__Bacteria	p__Firmicutes	c__Bacilli	o__Lactobacillales	f__Lactobacillaceae	g__Weissella	s__Weissella_cibaria
Weissella_confusa	k__Bacteria	p__Firmicutes	c__Bacilli	o__Lactobacillales	f__Lactobacillaceae	g__Weissella	s__Weissella_confusa
Weissella_koreensis	k__Bacteria	p__Firmicutes	c__Bacilli	o__Lactobacillales	f__Lactobacillaceae	g__Weissella	s__Weissella_koreensis
Weissella_paramesenteroides	k__Bacteria	p__Firmicutes	c__Bacilli	o__Lactobacillales	f__Lactobacillaceae	g__Weissella	s__Weissella_paramesenteroides
Weissella_viridescens	k__Bacteria	p__Firmicutes	c__Bacilli	o__Lactobacillales	f__Lactobacillaceae	g__Weissella	s__Weissella_viridescens
GGB45491_SGB63163	k__Bacteria	p__Firmicutes	c__Bacilli	o__Lactobacillales	f__Streptococcaceae	g__GGB45491	s__GGB45491_SGB63163
GGB79964_SGB15109	k__Bacteria	p__Firmicutes	c__Bacilli	o__Lactobacillales	f__Streptococcaceae	g__GGB79964	s__GGB79964_SGB15109
GGB9501_SGB14898	k__Bacteria	p__Firmicutes	c__Bacilli	o__Lactobacillales	f__Streptococcaceae	g__GGB9501	s__GGB9501_SGB14898
Lactococcus_cremoris	k__Bacteria	p__Firmicutes	c__Bacilli	o__Lactobacillales	f__Streptococcaceae	g__Lactococcus	s__Lactococcus_cremoris
Lactococcus_garvieae	k__Bacteria	p__Firmicutes	c__Bacilli	o__Lactobacillales	f__Streptococcaceae	g__Lactococcus	s__Lactococcus_garvieae
Lactococcus_lactis	k__Bacteria	p__Firmicutes	c__Bacilli	o__Lactobacillales	f__Streptococcaceae	g__Lactococcus	s__Lactococcus_lactis
Lactococcus_petauri	k__Bacteria	p__Firmicutes	c__Bacilli	o__Lactobacillales	f__Streptococcaceae	g__Lactococcus	s__Lactococcus_petauri
Lactococcus_piscium	k__Bacteria	p__Firmicutes	c__Bacilli	o__Lactobacillales	f__Streptococcaceae	g__Lactococcus	s__Lactococcus_piscium
Lactococcus_raffinolactis	k__Bacteria	p__Firmicutes	c__Bacilli	o__Lactobacillales	f__Streptococcaceae	g__Lactococcus	s__Lactococcus_raffinolactis
Lactococcus_taiwanensis	k__Bacteria	p__Firmicutes	c__Bacilli	o__Lactobacillales	f__Streptococcaceae	g__Lactococcus	s__Lactococcus_taiwanensis
Streptococcus_SGB14137	k__Bacteria	p__Firmicutes	c__Bacilli	o__Lactobacillales	f__Streptococcaceae	g__Streptococcus	s__Streptococcus_SGB14137
Streptococcus_SGB14888	k__Bacteria	p__Firmicutes	c__Bacilli	o__Lactobacillales	f__Streptococcaceae	g__Streptococcus	s__Streptococcus_SGB14888
Streptococcus_SGB15012	k__Bacteria	p__Firmicutes	c__Bacilli	o__Lactobacillales	f__Streptococcaceae	g__Streptococcus	s__Streptococcus_SGB15012
Streptococcus_SGB3665	k__Bacteria	p__Firmicutes	c__Bacilli	o__Lactobacillales	f__Streptococcaceae	g__Streptococcus	s__Streptococcus_SGB3665
Streptococcus_SGB4454	k__Bacteria	p__Firmicutes	c__Bacilli	o__Lactobacillales	f__Streptococcaceae	g__Streptococcus	s__Streptococcus_SGB4454
Streptococcus_SGB5805	k__Bacteria	p__Firmicutes	c__Bacilli	o__Lactobacillales	f__Streptococcaceae	g__Streptococcus	s__Streptococcus_SGB5805
Streptococcus_SGB9214	k__Bacteria	p__Firmicutes	c__Bacilli	o__Lactobacillales	f__Streptococcaceae	g__Streptococcus	s__Streptococcus_SGB9214
Streptococcus_SGB9221	k__Bacteria	p__Firmicutes	c__Bacilli	o__Lactobacillales	f__Streptococcaceae	g__Streptococcus	s__Streptococcus_SGB9221
Streptococcus_agalactiae	k__Bacteria	p__Firmicutes	c__Bacilli	o__Lactobacillales	f__Streptococcaceae	g__Streptococcus	s__Streptococcus_agalactiae
Streptococcus_alactolyticus	k__Bacteria	p__Firmicutes	c__Bacilli	o__Lactobacillales	f__Streptococcaceae	g__Streptococcus	s__Streptococcus_alactolyticus
Streptococcus_anginosus	k__Bacteria	p__Firmicutes	c__Bacilli	o__Lactobacillales	f__Streptococcaceae	g__Streptococcus	s__Streptococcus_anginosus
Streptococcus_australis	k__Bacteria	p__Firmicutes	c__Bacilli	o__Lactobacillales	f__Streptococcaceae	g__Streptococcus	s__Streptococcus_australis
Streptococcus_constellatus	k__Bacteria	p__Firmicutes	c__Bacilli	o__Lactobacillales	f__Streptococcaceae	g__Streptococcus	s__Streptococcus_constellatus
Streptococcus_cristatus	k__Bacteria	p__Firmicutes	c__Bacilli	o__Lactobacillales	f__Streptococcaceae	g__Streptococcus	s__Streptococcus_cristatus
Streptococcus_equinus	k__Bacteria	p__Firmicutes	c__Bacilli	o__Lactobacillales	f__Streptococcaceae	g__Streptococcus	s__Streptococcus_equinus
Streptococcus_gallolyticus	k__Bacteria	p__Firmicutes	c__Bacilli	o__Lactobacillales	f__Streptococcaceae	g__Streptococcus	s__Streptococcus_gallolyticus
Streptococcus_gordonii	k__Bacteria	p__Firmicutes	c__Bacilli	o__Lactobacillales	f__Streptococcaceae	g__Streptococcus	s__Streptococcus_gordonii
Streptococcus_infantis	k__Bacteria	p__Firmicutes	c__Bacilli	o__Lactobacillales	f__Streptococcaceae	g__Streptococcus	s__Streptococcus_infantis
Streptococcus_iniae	k__Bacteria	p__Firmicutes	c__Bacilli	o__Lactobacillales	f__Streptococcaceae	g__Streptococcus	s__Streptococcus_iniae
Streptococcus_intermedius	k__Bacteria	p__Firmicutes	c__Bacilli	o__Lactobacillales	f__Streptococcaceae	g__Streptococcus	s__Streptococcus_intermedius
Streptococcus_lutetiensis	k__Bacteria	p__Firmicutes	c__Bacilli	o__Lactobacillales	f__Streptococcaceae	g__Streptococcus	s__Streptococcus_lutetiensis
Streptococcus_mitis	k__Bacteria	p__Firmicutes	c__Bacilli	o__Lactobacillales	f__Streptococcaceae	g__Streptococcus	s__Streptococcus_mitis
Streptococcus_mutans	k__Bacteria	p__Firmicutes	c__Bacilli	o__Lactobacillales	f__Streptococcaceae	g__Streptococcus	s__Streptococcus_mutans
Streptococcus_oralis	k__Bacteria	p__Firmicutes	c__Bacilli	o__Lactobacillales	f__Streptococcaceae	g__Streptococcus	s__Streptococcus_oralis
Streptococcus_parasanguinis	k__Bacteria	p__Firmicutes	c__Bacilli	o__Lactobacillales	f__Streptococcaceae	g__Streptococcus	s__Streptococcus_parasanguinis
Streptococcus_parauberis	k__Bacteria	p__Firmicutes	c__Bacilli	o__Lactobacillales	f__Streptococcaceae	g__Streptococcus	s__Streptococcus_parauberis
Streptococcus_pasteurianus	k__Bacteria	p__Firmicutes	c__Bacilli	o__Lactobacillales	f__Streptococcaceae	g__Streptococcus	s__Streptococcus_pasteurianus
Streptococcus_pluranimalium	k__Bacteria	p__Firmicutes	c__Bacilli	o__Lactobacillales	f__Streptococcaceae	g__Streptococcus	s__Streptococcus_pluranimalium
Streptococcus_pneumoniae	k__Bacteria	p__Firmicutes	c__Bacilli	o__Lactobacillales	f__Streptococcaceae	g__Streptococcus	s__Streptococcus_pneumoniae
Streptococcus_rubneri	k__Bacteria	p__Firmicutes	c__Bacilli	o__Lactobacillales	f__Streptococcaceae	g__Streptococcus	s__Streptococcus_rubneri
Streptococcus_salivarius	k__Bacteria	p__Firmicutes	c__Bacilli	o__Lactobacillales	f__Streptococcaceae	g__Streptococcus	s__Streptococcus_salivarius
Streptococcus_sanguinis	k__Bacteria	p__Firmicutes	c__Bacilli	o__Lactobacillales	f__Streptococcaceae	g__Streptococcus	s__Streptococcus_sanguinis
Streptococcus_sinensis	k__Bacteria	p__Firmicutes	c__Bacilli	o__Lactobacillales	f__Streptococcaceae	g__Streptococcus	s__Streptococcus_sinensis
Streptococcus_sobrinus	k__Bacteria	p__Firmicutes	c__Bacilli	o__Lactobacillales	f__Streptococcaceae	g__Streptococcus	s__Streptococcus_sobrinus
Streptococcus_sp_F0442	k__Bacteria	p__Firmicutes	c__Bacilli	o__Lactobacillales	f__Streptococcaceae	g__Streptococcus	s__Streptococcus_sp_F0442
Streptococcus_sp_HF_1907	k__Bacteria	p__Firmicutes	c__Bacilli	o__Lactobacillales	f__Streptococcaceae	g__Streptococcus	s__Streptococcus_sp_HF_1907
Streptococcus_suis	k__Bacteria	p__Firmicutes	c__Bacilli	o__Lactobacillales	f__Streptococcaceae	g__Streptococcus	s__Streptococcus_suis
Streptococcus_thermophilus	k__Bacteria	p__Firmicutes	c__Bacilli	o__Lactobacillales	f__Streptococcaceae	g__Streptococcus	s__Streptococcus_thermophilus
Streptococcus_vestibularis	k__Bacteria	p__Firmicutes	c__Bacilli	o__Lactobacillales	f__Streptococcaceae	g__Streptococcus	s__Streptococcus_vestibularis
GGB9258_SGB14205	k__Bacteria	p__Firmicutes	c__CFGB10021	o__OFGB10021	f__FGB10021	g__GGB9258	s__GGB9258_SGB14205
GGB2652_SGB3573	k__Bacteria	p__Firmicutes	c__CFGB1011	o__OFGB1011	f__FGB1011	g__GGB2652	s__GGB2652_SGB3573
GGB2653_SGB3574	k__Bacteria	p__Firmicutes	c__CFGB1011	o__OFGB1011	f__FGB1011	g__GGB2653	s__GGB2653_SGB3574
GGB2657_SGB3578	k__Bacteria	p__Firmicutes	c__CFGB1012	o__OFGB1012	f__FGB1012	g__GGB2657	s__GGB2657_SGB3578
GGB4644_SGB6428	k__Bacteria	p__Firmicutes	c__CFGB10312	o__OFGB10312	f__FGB10312	g__GGB4644	s__GGB4644_SGB6428
GGB4702_SGB6509	k__Bacteria	p__Firmicutes	c__CFGB10314	o__OFGB10314	f__FGB10314	g__GGB4702	s__GGB4702_SGB6509
GGB4703_SGB6510	k__Bacteria	p__Firmicutes	c__CFGB10314	o__OFGB10314	f__FGB10314	g__GGB4703	s__GGB4703_SGB6510
GGB4669_SGB6458	k__Bacteria	p__Firmicutes	c__CFGB10325	o__OFGB10325	f__FGB10325	g__GGB4669	s__GGB4669_SGB6458
GGB9345_SGB14311	k__Bacteria	p__Firmicutes	c__CFGB10477	o__OFGB10477	f__FGB10477	g__GGB9345	s__GGB9345_SGB14311
GGB2848_SGB3813	k__Bacteria	p__Firmicutes	c__CFGB1126	o__OFGB1126	f__FGB1126	g__GGB2848	s__GGB2848_SGB3813
GGB34540_SGB54300	k__Bacteria	p__Firmicutes	c__CFGB11916	o__OFGB11916	f__FGB11916	g__GGB34540	s__GGB34540_SGB54300
GGB2958_SGB3940	k__Bacteria	p__Firmicutes	c__CFGB1201	o__OFGB1201	f__FGB1201	g__GGB2958	s__GGB2958_SGB3940
GGB2970_SGB3952	k__Bacteria	p__Firmicutes	c__CFGB1211	o__OFGB1211	f__FGB1211	g__GGB2970	s__GGB2970_SGB3952
GGB9788_SGB15411	k__Bacteria	p__Firmicutes	c__CFGB1213	o__OFGB1213	f__FGB1213	g__GGB9788	s__GGB9788_SGB15411
GGB2996_SGB3983	k__Bacteria	p__Firmicutes	c__CFGB1226	o__OFGB1226	f__FGB1226	g__GGB2996	s__GGB2996_SGB3983
GGB2998_SGB3988	k__Bacteria	p__Firmicutes	c__CFGB1226	o__OFGB1226	f__FGB1226	g__GGB2998	s__GGB2998_SGB3988
GGB2998_SGB3989	k__Bacteria	p__Firmicutes	c__CFGB1226	o__OFGB1226	f__FGB1226	g__GGB2998	s__GGB2998_SGB3989
GGB58485_SGB80143	k__Bacteria	p__Firmicutes	c__CFGB1226	o__OFGB1226	f__FGB1226	g__GGB58485	s__GGB58485_SGB80143
GGB2999_SGB3990	k__Bacteria	p__Firmicutes	c__CFGB1227	o__OFGB1227	f__FGB1227	g__GGB2999	s__GGB2999_SGB3990
GGB3000_SGB3991	k__Bacteria	p__Firmicutes	c__CFGB1227	o__OFGB1227	f__FGB1227	g__GGB3000	s__GGB3000_SGB3991
GGB3002_SGB3993	k__Bacteria	p__Firmicutes	c__CFGB1227	o__OFGB1227	f__FGB1227	g__GGB3002	s__GGB3002_SGB3993
GGB3003_SGB3994	k__Bacteria	p__Firmicutes	c__CFGB1227	o__OFGB1227	f__FGB1227	g__GGB3003	s__GGB3003_SGB3994
GGB3004_SGB3995	k__Bacteria	p__Firmicutes	c__CFGB1227	o__OFGB1227	f__FGB1227	g__GGB3004	s__GGB3004_SGB3995
GGB3005_SGB3996	k__Bacteria	p__Firmicutes	c__CFGB1227	o__OFGB1227	f__FGB1227	g__GGB3005	s__GGB3005_SGB3996
GGB3008_SGB3999	k__Bacteria	p__Firmicutes	c__CFGB1230	o__OFGB1230	f__FGB1230	g__GGB3008	s__GGB3008_SGB3999
GGB3032_SGB4027	k__Bacteria	p__Firmicutes	c__CFGB1249	o__OFGB1249	f__FGB1249	g__GGB3032	s__GGB3032_SGB4027
GGB3033_SGB4028	k__Bacteria	p__Firmicutes	c__CFGB1249	o__OFGB1249	f__FGB1249	g__GGB3033	s__GGB3033_SGB4028
GGB3033_SGB4029	k__Bacteria	p__Firmicutes	c__CFGB1249	o__OFGB1249	f__FGB1249	g__GGB3033	s__GGB3033_SGB4029
GGB3034_SGB4030	k__Bacteria	p__Firmicutes	c__CFGB1249	o__OFGB1249	f__FGB1249	g__GGB3034	s__GGB3034_SGB4030
GGB29535_SGB36365	k__Bacteria	p__Firmicutes	c__CFGB1260	o__OFGB1260	f__FGB1260	g__GGB29535	s__GGB29535_SGB36365
GGB3057_SGB4059	k__Bacteria	p__Firmicutes	c__CFGB1260	o__OFGB1260	f__FGB1260	g__GGB3057	s__GGB3057_SGB4059
GGB3058_SGB4060	k__Bacteria	p__Firmicutes	c__CFGB1260	o__OFGB1260	f__FGB1260	g__GGB3058	s__GGB3058_SGB4060
GGB3061_SGB4063	k__Bacteria	p__Firmicutes	c__CFGB1262	o__OFGB1262	f__FGB1262	g__GGB3061	s__GGB3061_SGB4063
GGB3109_SGB4119	k__Bacteria	p__Firmicutes	c__CFGB1292	o__OFGB1292	f__FGB1292	g__GGB3109	s__GGB3109_SGB4119
GGB3109_SGB4643	k__Bacteria	p__Firmicutes	c__CFGB1292	o__OFGB1292	f__FGB1292	g__GGB3109	s__GGB3109_SGB4643
GGB3124_SGB4136	k__Bacteria	p__Firmicutes	c__CFGB1303	o__OFGB1303	f__FGB1303	g__GGB3124	s__GGB3124_SGB4136
GGB74827_SGB4137	k__Bacteria	p__Firmicutes	c__CFGB1304	o__OFGB1304	f__FGB1304	g__GGB74827	s__GGB74827_SGB4137
GGB3130_SGB4143	k__Bacteria	p__Firmicutes	c__CFGB1311	o__OFGB1311	f__FGB1311	g__GGB3130	s__GGB3130_SGB4143
GGB3138_SGB4151	k__Bacteria	p__Firmicutes	c__CFGB1311	o__OFGB1311	f__FGB1311	g__GGB3138	s__GGB3138_SGB4151
GGB3140_SGB4153	k__Bacteria	p__Firmicutes	c__CFGB1311	o__OFGB1311	f__FGB1311	g__GGB3140	s__GGB3140_SGB4153
GGB3142_SGB4155	k__Bacteria	p__Firmicutes	c__CFGB1311	o__OFGB1311	f__FGB1311	g__GGB3142	s__GGB3142_SGB4155
GGB3146_SGB4159	k__Bacteria	p__Firmicutes	c__CFGB1311	o__OFGB1311	f__FGB1311	g__GGB3146	s__GGB3146_SGB4159
GGB3160_SGB4364	k__Bacteria	p__Firmicutes	c__CFGB1320	o__OFGB1320	f__FGB1320	g__GGB3160	s__GGB3160_SGB4364
GGB3185_SGB4208	k__Bacteria	p__Firmicutes	c__CFGB1337	o__OFGB1337	f__FGB1337	g__GGB3185	s__GGB3185_SGB4208
GGB3254_SGB4301	k__Bacteria	p__Firmicutes	c__CFGB1337	o__OFGB1337	f__FGB1337	g__GGB3254	s__GGB3254_SGB4301
GGB4704_SGB6511	k__Bacteria	p__Firmicutes	c__CFGB13380	o__OFGB13380	f__FGB13380	g__GGB4704	s__GGB4704_SGB6511
GGB4711_SGB6524	k__Bacteria	p__Firmicutes	c__CFGB13380	o__OFGB13380	f__FGB13380	g__GGB4711	s__GGB4711_SGB6524
GGB3287_SGB4341	k__Bacteria	p__Firmicutes	c__CFGB1347	o__OFGB1347	f__FGB1347	g__GGB3287	s__GGB3287_SGB4341
GGB3289_SGB4343	k__Bacteria	p__Firmicutes	c__CFGB1347	o__OFGB1347	f__FGB1347	g__GGB3289	s__GGB3289_SGB4343
GGB3304_SGB4367	k__Bacteria	p__Firmicutes	c__CFGB1354	o__OFGB1354	f__FGB1354	g__GGB3304	s__GGB3304_SGB4367
GGB3305_SGB4368	k__Bacteria	p__Firmicutes	c__CFGB1355	o__OFGB1355	f__FGB1355	g__GGB3305	s__GGB3305_SGB4368
GGB3306_SGB4371	k__Bacteria	p__Firmicutes	c__CFGB1355	o__OFGB1355	f__FGB1355	g__GGB3306	s__GGB3306_SGB4371
GGB3306_SGB4372	k__Bacteria	p__Firmicutes	c__CFGB1355	o__OFGB1355	f__FGB1355	g__GGB3306	s__GGB3306_SGB4372
GGB3306_SGB4373	k__Bacteria	p__Firmicutes	c__CFGB1355	o__OFGB1355	f__FGB1355	g__GGB3306	s__GGB3306_SGB4373
GGB3320_SGB4391	k__Bacteria	p__Firmicutes	c__CFGB1359	o__OFGB1359	f__FGB1359	g__GGB3320	s__GGB3320_SGB4391
GGB3321_SGB4394	k__Bacteria	p__Firmicutes	c__CFGB1359	o__OFGB1359	f__FGB1359	g__GGB3321	s__GGB3321_SGB4394
